title,link,year,publication_type,publication_date,doi,abstract,authors,patent,created_at,updated_at,trackid
Thresholding Decision-Directed Descent (T3D): A Tuning Solution for DDR5 DRAM DFEs,https://www.researchgate.net/publication/382924447_Thresholding_Decision-Directed_Descent_T3D_A_Tuning_Solution_for_DDR5_DRAM_DFEs,2024,Article,2024-11-01 00:00:00,DOI:10.1109/TVLSI.2024.3435419,"Emerging memory technologies, such as DDR5, offer increased data rates and storage capacities, at the expense of signal integrity challenges. To address these challenges, the DDR5 standard incorporates a four-tap decision feedback equalizer (DFE). As elaborated in this article, known methods for DFE tuning are limited due to interface complexity and distinct equalization requirements for DDR5. We propose a decision-directed DFE tuning method called thresholding decision-directed descent (T3D). By leveraging DDR5 architectural features, our novel method tracks the eye envelope as it opens, which facilitates rapid convergence compared to the state of the art. To validate the performance of T3D, silicon measurements are presented alongside a virtual testbench methodology. By demonstrating the high correlation between silicon and simulation results, the virtual testbench can be beneficial for the design, validation, and prototyping of future DFE tuning methods.","Mitchell Cooke, Nicola Nicolici",,2025-01-20 00:49:04.596963,2025-01-20 00:49:04.596963,2f424434d68511ef984c0c9a3cb15cde
An Embedded Architecture for DDR5 DFE Calibration Based on Channel Stimulus Inversion,https://www.researchgate.net/publication/386437436_An_Embedded_Architecture_for_DDR5_DFE_Calibration_Based_on_Channel_Stimulus_Inversion,2024,Article,2024-01-01 00:00:00,DOI:10.1109/TVLSI.2024.3505835,"The increase in performance promised by the recent generation of double data rate (DDR) memory, DDR5, is conditioned by addressing its signal integrity challenges. The DDR5 standard specifies a 4-tap decision feedback equalizer (DFE) at the memory receiver to deal with these challenges. Although adaptive equalization is a mature field, known methods for DFE calibration are limited by the DDR5 interface complexity and the equalization requirements mandated by its specification. In this article, we propose a novel approach based on linear inversion of channel stimulus that leverages specific architectural details of DDR5 and can tune memory devices deterministically at runtime. In addition to using few hardware resources relative to a modern memory controller, by operating at very low latency, this new approach facilitates periodic equalization when the DFE is offline, thus avoiding DFE error propagation during training inherent to adaptive techniques.","Mitchell Cooke, Nicola Nicolici",,2025-01-20 00:49:04.777944,2025-01-20 00:49:04.777944,2f424434d68511ef984c0c9a3cb15cde
The influence of mechanical cyclic bending stress on the reliability of the emerging DDR5 memories in the industrial market,https://www.researchgate.net/publication/384923309_The_influence_of_mechanical_cyclic_bending_stress_on_the_reliability_of_the_emerging_DDR5_memories_in_the_industrial_market,2024,Article,2024-01-01 00:00:00,DOI:10.1109/TCPMT.2024.3479928,"The increased demand for electronic products that meet technological requirements has driven the successful adoption of DDR5 technology. This new generation of memory stands out for its data transfer bandwidth, capacity and speed, surpassing its predecessor, the DDR4. Despite the improvements offered by DDR5 compared to its older generations, it is crucial to evaluate its performance, reliability and qualifications by themselves. Special attention must be paid to the mechanical stress that the printed circuit board (PCB) may face during production or in operation, as this can impact the stability of the system and the integrity of the soldered electronic components. In this context, this article reports the performance and reliability of DDR5 UDIMM memory modules with densities of 8 GB, 16 GB and 32 GB, when subjected to bending tests. The international norms JESD22-B113 and IPC-A 610J-2024 are used as main reference for this test. Furthermore, the influence of this mechanical stress on data integrity, system stability and possible short-circuit risks was examined through functional tests, x-ray imaging, tomography and cross-sections analysis. The obtained results provided insights into the qualification practices aimed for the industrial market, serving as a comprehensive guide for this emerging technology. The three densities of DDR5 memory presented strong indications of high quality and high reliability, whereas they maintained data integrity and system stability after being subjected to mechanical bending stress, suggesting those products as a good candidates for high-performance applications.","Tatiany Mafra da Silva, L.S. Bezerra, G.M. Santos, A.R. Guarino",,2025-01-20 00:49:04.801398,2025-01-20 00:49:04.801398,2f424434d68511ef984c0c9a3cb15cde
DDR5: Fifth-generation of DDR Memory Module,https://www.researchgate.net/publication/336739697_DDR5_Fifth-generation_of_DDR_Memory_Module,2019,Article,2019-10-01 00:00:00,,"The latest buzz on next-generation memory is DDR5, the successor of DDR4. DDR5 is latest and next-generation (fifth-generation) of double-data-rate (DDR) random-access memory (RAM) memory family. The key features driving future memories are speed, memory density, lower operating voltage, and faster access. DDR5 supports memory density from 8Gb to 64Gb along with a wide range of data rates from 3200 MT/s to 6400 MT/s. DDR5 is mainly driven by the need for more bandwidth while previous generations focused on reducing power consumption and were driven by applications such as mobile and data center. It will provide double the bandwidth over DDR4, along with delivering improved channel efficiency but the primary feature of DDR5 SDRAM is the capacity of chips.",Anil Kumar Pandey,,2025-01-20 00:49:04.827603,2025-01-20 00:49:04.827603,2f424434d68511ef984c0c9a3cb15cde
Crosstalk Noise Alleviation Technique for DDR5 Memory Interface on Compact PWB,https://www.researchgate.net/publication/360642396_Crosstalk_Noise_Alleviation_Technique_for_DDR5_Memory_Interface_on_Compact_PWB,2022,Conference Paper,2022-04-01 00:00:00,,"This paper discusses the far end crosstalk (FEXT) or coupling noise alleviation technique for DDR5 memory interface signals on outer layer of compact printed wire board (PWB) by appending protrusions on signal traces. The study is carried out by analyzing FEXT in frequency (S41 parameter) and time domain. The analysis results show that the S41 experienced by the signal traces with triangular protrusions is diminished by 5 dB across the full bandwidth of DDR5 data communication, up to 10 GHz.",Chang Fei Yee,,2025-01-20 00:49:04.853739,2025-01-20 00:49:04.853739,2f424434d68511ef984c0c9a3cb15cde
Channel Analysis for a 6.4 Gb s−1 DDR5 Data Buffer Receiver Front-End,https://www.researchgate.net/publication/319982737_Channel_Analysis_for_a_64_Gb_s-1_DDR5_Data_Buffer_Receiver_Front-End,2017,Article,2017-09-01 00:00:00,DOI:10.5194/ars-15-157-2017,"In this contribution, the channel characteristic of the next generation DDR5-SDRAM architecture and possible approaches to overcome channel impairments are analysed.

Because modern enterprise server applications and networks demand higher memory bandwidth, throughput and capacity, the DDR5-SDRAM specification is currently under development as a follow-up of DDR4-SDRAM technology. In this specification, the data rate is doubled to DDR5-6400 per IO as compared to the former DDR4-3200 architecture, resulting in a total per DIMM data rate of up to 409.6 Gb s⁻¹. The single-ended multi-point-to-point CPU channel architecture in DDRX technology remains the same for DDR5 systems. At the specified target data rate, insertion loss, reflections, cross-talk as well as power supply noise become more severe and have to be considered. Using the data buffer receiver front-end of a load-reduced memory module, sophisticated equalisation techniques can be applied to ensure target BER at the increased data rate.

In this work, the worst case CPU back-plane channel is analysed to derive requirements for receiver-side equalisation from the channel response characteristics. First, channel impairments such as inter-symbol-interference, reflections from the multi-point channel structure, and crosstalk from neighboring lines are analysed in detail. Based on these results, different correction methods for DDR5 data buffer front-ends are discussed. An architecture with 1-tap FFE in combination with a multi-tap DFE is proposed. Simulation of the architecture using a random input data stream is used to reveal the required DFE tap filter depth to effectively eliminate the dominant ISI and reflection based error components.","Stefanie Lehmann, Friedel Gerfers",,2025-01-20 00:49:04.877617,2025-01-20 00:49:04.877617,2f424434d68511ef984c0c9a3cb15cde
A 2.6-GHz I/O Buffer for DDR4 & DDR5 SDRAMs in 16-nm FinFET CMOS Process,https://www.researchgate.net/publication/380286690_A_26-GHz_IO_Buffer_for_DDR4_DDR5_SDRAMs_in_16-nm_FinFET_CMOS_Process,2023,Conference Paper,2023-11-01 00:00:00,,"An input/output (110) buffer is developed to meet the specifications for DDR4 and DDR5 SDRAMs in terms of duty cycle, system voltage, and slew rate. As a means of reducing output current variations and increasing driving current, ultra-low threshold voltage (ULVT) transistors are opted for as output stage's driving devices. The gates of these transistors are stabilized thanks to the work of the novel VDDIO Detector circuit and an on-chip MIM capacitor that cancels out noise coupled from GND. Leakage currents are minimized by the modified Leakage Reduction and Floating N-well circuits. TSMC's 16-nm FinFET CMOS technology was used to realize the 1/0 buffer. The core area is 0.242×0.126 mm2 . It has operated reliably at a maximum worst case frequency of 2.6 GHz. At 2.2 GHz, i t achieves a slew rate of 8.89 V/ns (0.8 V VDDIO) and 8.85 V/ns (1.2 V VDDIO), as well as a duty cycle of 48.0% (0.8 V VDDIO) to 48.2%. (1.2 V VDDIO). After auto-tuning the driving current, the slew rate (SR improvement) is increased by at least 28 % at high voltage mode (VDDIO).","Jhih-Ying Ke, Lean Karlo Tolentino, Cheng-Yao Lo, Tzung-Je Lee",,2025-01-20 00:49:04.909514,2025-01-20 00:49:04.909514,2f424434d68511ef984c0c9a3cb15cde
Using Machine Learning Techniques to Determine DDR5 SDRAM I/O Buffer’s Slew Rate at Different PVT Variations,https://www.researchgate.net/publication/378087340_Using_Machine_Learning_Techniques_to_Determine_DDR5_SDRAM_IO_Buffer%27s_Slew_Rate_at_Different_PVT_Variations,2023,Conference Paper,2023-11-01 00:00:00,,"This study focuses on optimizing specialized input/output (I/O) buffers for DDR5 SDRAMs, specifically examining slew rate variations due to Process, Voltage, and Temperature (PVT) variations. Using advanced techniques like Generalized Regression Neural Network (GRNN) and Genetic Algorithms (GA), the research models slew rate (SR) changes under diverse PVT variations. The dataset taken from simulations has been partitioned into two distinct sections, namely the training set and testing set, with proportions of 80% and 20% respectively. The simulation yields comparative outcomes for the real and anticipated SR. Furthermore, GA exhibits superior performance in forecasting slew rate when compared to GRNN. The regression value yields a significantly closer approximation to unity, thereby achieving a better fit to the dataset. The R2 coefficient of 0.98705 indicates a strong linear relationship between the provided dataset and the line of best fit. Surprisingly, based on the model, a temperature detector circuit was found redundant, resulting in substantial power and area savings. However, voltage variations significantly impacted slew rate. A voltage detector design is therefore recommended. This research advances I/O buffer optimization, offering crucial insights into temperature, voltage, and slew rate dynamics.","Lean Karlo Tolentino, Jhih-Ying Ke, Cheng-Yao Lo, Chua-Chin Wang",,2025-01-20 00:49:04.935533,2025-01-20 00:49:04.935533,2f424434d68511ef984c0c9a3cb15cde
A 6-Gbps 16-nm FinFET CMOS I/O Buffer With Variation Insensitivity Ensured by Genetic Algorithm,https://www.researchgate.net/publication/382006236_A_6-Gbps_16-nm_FinFET_CMOS_IO_Buffer_With_Variation_Insensitivity_Ensured_by_Genetic_Algorithm,2024,Article,2024-11-01 00:00:00,DOI:10.1109/TCSI.2024.3419020,"This paper presents a novel 6-Gbps variation insensitive input/output (I/O) buffer designed for DDR4 and DDR5 SDRAM data transfer in a 16-nm FinFET CMOS process. Utilizing genetic algorithm (GA) to model process, voltage, and temperature (PVT) variations, the study reveals insights into temperature and voltage effects on FinFET-based, nanoscale buffer characteristics, leading to the removal of the temperature detector circuit to save power and area. Voltage variations, however, significantly impact slew rate, prompting the introduction of a Voltage Detector circuit using ultra-low threshold voltage (ULVT) transistors. Innovative Voltage Level Converter, Pre-Driver, and Digital Logic Control circuits enhance slew rate and throughput while stabilizing the output signal quality. This results in reliable operation at 6.0 Gbps with improved slew rate (17.7%/39.75% for VDDIO=0.8/1.2 V) and duty cycle performance (50.5%/51.4% for VDDIO=0.8/1.2 V) due to PV auto-adjustment; the first in the world. The proposed design effectively addresses the stringent slew rate and data rate requirements of DDR4 and DDR5 SDRAMs, offering advancements in speed, reliability, and efficiency amidst PV variations.","Chua-Chin Wang, L S S Pavan Kumar Chodisetti, Jhih-Ying Ke, Cheng-Yao Lo",,2025-01-20 00:49:04.961113,2025-01-20 00:49:04.961113,2f424434d68511ef984c0c9a3cb15cde
Overview of DDR5 Standard and the Channel Loss Compensation Mechanism,https://www.researchgate.net/publication/354816591_Overview_of_DDR5_Standard_and_the_Channel_Loss_Compensation_Mechanism,2021,Experiment Findings,2021-07-01 00:00:00,,"Keywords: DDR5, channel loss compensation, DFE",Chang Fei Yee,,2025-01-20 00:49:04.988987,2025-01-20 00:49:04.988987,2f424434d68511ef984c0c9a3cb15cde
